File #,Action Date,Title,Vote
210153,2/24/2021,"Motion establishing goals for the Board of Supervisors' Budget and Appropriations Committee, and the process to guide the Board's deliberations on the City budget, for Fiscal Years (FYs) 2021-2022 and 2022-2023.",Aye
210153,2/24/2021,"Motion establishing goals for the Board of Supervisors' Budget and Appropriations Committee, and the process to guide the Board's deliberations on the City budget, for Fiscal Years (FYs) 2021-2022 and 2022-2023.",Aye
210130,2/24/2021,Hearing to identify the Youth Commission's budget priorities for Fiscal Years (FYs) 2021-2022 and 2022-2023; and requesting the Youth Commission to report.,Absent
210143,2/24/2021,"Resolution 1) approving and authorizing the Director of Property, on behalf of the San Francisco Mayor’s Office of Housing and Community Development (“MOHCD”), to acquire real property located at 921 Howard Street (“Property”) from 5th and Howard Associates, L.P. (“Developer”) for $13,765,670; 2) placing the Property under the jurisdiction of MOHCD for use in constructing affordable housing for San Franciscans; 3) approving and authorizing a Loan Agreement in an amount not to exceed $39,148,960 for a minimum loan term of 57 years (“Loan Agreement”) to finance the construction of a 100% afforda",Aye
210051,2/24/2021,"Resolution authorizing the Director of Property to execute a Quitclaim Deed and the San Francisco Public Utilities Commission (SFPUC) General Manager to execute an Agreement for Sale of Real Estate for the conveyance of real property by the City and County of San Francisco to the East Bay Regional Park District, commonly known as a portion of the Former Wool Ranch, Assessor’s Parcel Block No. 096-0090-005-11 (20 acres); adopting findings under the California Environmental Quality Act; adopting findings that the conveyance is consistent with the General Plan, and the eight priority policies of",Aye
210070,2/24/2021,"Resolution approving the issuance and re-issuance from time to time of up to an additional $100,000,000 aggregate principal amount of San Francisco International Airport Subordinate Commercial Paper Notes for any lawful Airport purpose; and ratifying and confirming certain related Resolutions of the Board and the Airport Commission, as defined herein.",Aye
210070,2/24/2021,"Resolution approving the issuance and re-issuance from time to time of up to an additional $100,000,000 aggregate principal amount of San Francisco International Airport Subordinate Commercial Paper Notes for any lawful Airport purpose; and ratifying and confirming certain related Resolutions of the Board and the Airport Commission, as defined herein.",Aye
210118,2/24/2021,"Resolution approving and authorizing the Director of Property to convey a portion of City-owned real property, located at 240 Van Ness Avenue, in exchange for the real property located at 234 Van Ness Avenue with 234 Van Ness, LLC; such conveyance is preceded by reconfiguring the properties to deliver a single developable parcel to the City for the purposes of building affordable housing; adopting findings that the conveyance and exchange is consistent with the General Plan, and the eight priority policies of Planning Code, Section 101.1; authorizing the Director of Property to execute documen",Aye
210119,2/24/2021,"Resolution authorizing the Mayor’s Office of Housing and Community Development, on behalf of the City and County of San Francisco, to participate in the third round Notice of Funding Availability and accept and expend the county competitive allocation award for an amount up to $322,157 under the California Department of Housing and Community Development No Place Like Home Program, which provides funding for counties to develop multifamily housing specifically for persons with serious mental illness who are homeless, chronically homeless, or at-risk of chronic homelessness, for a term to be det",Aye
210084,2/24/2021,"Resolution approving and authorizing the Director of Property, on behalf of the Department of Public Health and Sum M. Seto Properties, LLC, and Jenny P. Seto Properties, LLC, to amend the lease of real property for its 33-bed, licensed treatment facility located at 1421 Broderick Street at a base rent of $372,510 per year with annual rent increases of 3%, and to extend the Lease expiring on January 31, 2021, through January 31, 2024, to commence upon approval of this Resolution by the Board of Supervisors; and authorizing the Director of Property to execute documents, make certain modificatio",Aye
210084,2/24/2021,"Resolution approving and authorizing the Director of Property, on behalf of the Department of Public Health and Sum M. Seto Properties, LLC, and Jenny P. Seto Properties, LLC, to amend the lease of real property for its 33-bed, licensed treatment facility located at 1421 Broderick Street at a base rent of $372,510 per year with annual rent increases of 3%, and to extend the Lease expiring on January 31, 2021, through January 31, 2024, to commence upon approval of this Resolution by the Board of Supervisors; and authorizing the Director of Property to execute documents, make certain modificatio",Aye
201344,2/24/2021,Ordinance authorizing the Public Utilities Commission to become a member of a Joint Powers Authority consisting of Community Choice Aggregators for the purpose of joint purchases of electricity and related products and services; and authorizing deviations from certain otherwise applicable contract requirements in the Administrative Code and the Environment Code for purchases that do not otherwise require Board approval.,Aye
201344,2/24/2021,Ordinance authorizing the Public Utilities Commission to become a member of a Joint Powers Authority consisting of Community Choice Aggregators for the purpose of joint purchases of electricity and related products and services; and authorizing deviations from certain otherwise applicable contract requirements in the Administrative Code and the Environment Code for purchases that do not otherwise require Board approval.,Aye
210143,2/24/2021,"Resolution 1) approving and authorizing the Director of Property, on behalf of the San Francisco Mayor’s Office of Housing and Community Development (“MOHCD”), to acquire real property located at 921 Howard Street (“Property”) from 5th and Howard Associates, L.P. (“Developer”) for $13,765,670; 2) placing the Property under the jurisdiction of MOHCD for use in constructing affordable housing for San Franciscans; 3) approving and authorizing a Loan Agreement in an amount not to exceed $39,148,960 for a minimum loan term of 57 years (“Loan Agreement”) to finance the construction of a 100% afforda",Aye
210139,2/24/2021,"Emergency ordinance to prohibit the City from requiring people experiencing homelessness currently sheltered in approximately 2,000 Shelter-in-Place (“SIP”) Hotel rooms to move from those rooms until those individuals obtain a stable housing placement; to require the City to make a total of 2,200 Shelter-in-Place (“SIP”) Hotel rooms available, and to fill those rooms, as they are vacated, for people experiencing homelessness; and to require the Department of Homelessness and Supportive Housing to prepare publicly available reports on the progress of placements from SIP Hotels into stable housi",Aye
210139,2/24/2021,"Emergency ordinance to prohibit the City from requiring people experiencing homelessness currently sheltered in approximately 2,000 Shelter-in-Place (“SIP”) Hotel rooms to move from those rooms until those individuals obtain a stable housing placement; to require the City to make a total of 2,200 Shelter-in-Place (“SIP”) Hotel rooms available, and to fill those rooms, as they are vacated, for people experiencing homelessness; and to require the Department of Homelessness and Supportive Housing to prepare publicly available reports on the progress of placements from SIP Hotels into stable housi",Aye
201364,2/24/2021,"Ordinance appropriating $10,050,000 from the General Reserve to the Mayor’s Office of Housing and Community Development for rent relief under the Rent Resolution and Relief Fund and $10,050,000 for the acquisition, creation and operation of affordable, social housing under the Housing Stability Fund in Fiscal Year (FY) 2020-2021.",Aye
201364,2/24/2021,"Ordinance appropriating $10,050,000 from the General Reserve to the Mayor’s Office of Housing and Community Development for rent relief under the Rent Resolution and Relief Fund and $10,050,000 for the acquisition, creation and operation of affordable, social housing under the Housing Stability Fund in Fiscal Year (FY) 2020-2021.",Aye
210071,2/17/2021,"Resolution establishing the appropriations limit of $8,364,999,808 for Fiscal Year (FY) 2020-2021, pursuant to California Constitution, Article XIII B.",Aye
210131,2/17/2021,"Hearing to receive updates on the Five Year Financial Plan for Fiscal Years (FYs) 2021-2022 through 2025-2026; and requesting the Mayor’s Office, Controller’s Office, and Budget and Analyst Office to report.",Aye
210132,2/17/2021,Hearing to receive updates on the Mayor's Budget Instructions for Fiscal Years (FYs) 2021-2022 and 2022-2023; and requesting the Mayor's Office and Office of the Controller to report.,Aye
210094,2/17/2021,"Hearing to receive updates on the City's economy, financial condition, and other issues; and requesting the Mayor's Office, Office of the Controller, and the Budget and Legislative Analyst to report.",Aye
210133,2/17/2021,Hearing to receive updates on the Six Month Budget Status Report for Fiscal Year (FY) 2020-2021; and requesting the Mayor’s Office and Controller’s Office to report.,Aye
200947,2/17/2021,"Ordinance waiving certain procurement and contracting requirements in Chapters 6, 14B, and 21 of the Administrative Code, as applied to the Potrero Yard Modernization Project (Project), to authorize the San Francisco Municipal Transportation Agency (SFMTA) to: procure design, construction, finance, maintenance, asset management, and other services (Joint Development Services) for the Project utilizing a joint development delivery method; select a developer team utilizing a best-value selection process; and, provided that the City elects to proceed with the Project after completing its review u",Aye
210080,2/17/2021,"Resolution retroactively authorizing the Department of Public Health to accept and expend a grant in the amount of $300,000 from the Robert Wood Johnson Foundation for participation in a program, entitled “Evaluating San Francisco’s Street Crisis Response Team as a Model for Treating Mental and Substance-Use Issues Among Adults Experiencing Homelessness,” for the period of December 15, 2020, through June 14, 2022.",Aye
210081,2/17/2021,"Resolution retroactively authorizing the Department of Public Health to accept and expend a grant in the amount of $3,000,000 from the California Department of Public Health for participation in a program, entitled “California Home Visiting Program State General Fund Innovation,” for the period of November 10, 2020, through June 30, 2023.",Aye
210083,2/17/2021,"Resolution authorizing the execution and delivery of a multifamily housing revenue note in one or more series in an aggregate principal amount not to exceed $21,762,000 for the purpose of providing financing for the acquisition and rehabilitation of a 120-unit multifamily rental housing project located at 1223 Webster Street, known as “Fillmore Marketplace Apartments;” approving the form of and authorizing the execution of a funding loan agreement, providing the terms and conditions of the loan from the funding lender to the City, and the execution and delivery of the note; approving the form",Aye
210117,2/17/2021,"Resolution authorizing the Mayor’s Office of Housing and Community Development to expend SoMa Community Stabilization Fund dollars in the amount of $58,435 for tenant improvements to Kapwa Gardens at 967 Mission Street, in accordance with the purposes and goals for the funding set forth in the Strategic Plan and the Funding Recommendations approved by the SoMa Community Stabilization Fund Community Advisory Committee.",Aye
210030,2/17/2021,"Ordinance amending the Building Code to waive specified fees for certain accessory dwelling unit projects through June 30, 2023; requiring the Department of Building Inspection to annually report on such waivers; and affirming the Planning Department’s determination under the California Environmental Quality Act.",Excused
210031,2/17/2021,"Ordinance appropriating $165,000 from the General Reserve in the Department of Building Inspection to provide Accessory Dwelling Unit permit services in Fiscal Year (FY) 2020-2021.",Excused
210095,2/17/2021,"Hearing regarding updates on the Right to Recover Program to discuss how many times the program has paused because of lack of funds, how many eligible individuals have failed to receive this economic assistance since the program began, how much money is currently available to assist COVID-19 positive residents in the program, how much estimated additional funding would be needed to fully fund the program throughout the duration of the pandemic, the impact of the program on the individuals who received funding and the public health at large; and requesting the Office of Economic Workforce Devel",Aye
201415,2/17/2021,"Ordinance waiving business registration fees for the fiscal year commencing July 1, 2020, and certain license fees originally due on March 31, 2020, for businesses with $25,000,000 or less in San Francisco gross receipts that received more than 50% of such receipts from business activities precluded during all or a portion of the period from March 17, 2020, through March 1, 2021, due to a Local Health Officer’s order to mitigate the spread of COVID-19 and/or from the activities of a facility that prepares and serves food for delivery or carry out or a restaurant, and refunding any waived amoun",Aye
201415,2/17/2021,"Ordinance waiving business registration fees for the fiscal year commencing July 1, 2020, and certain license fees originally due on March 31, 2020, for businesses with $25,000,000 or less in San Francisco gross receipts that received more than 50% of such receipts from business activities precluded during all or a portion of the period from March 17, 2020, through March 1, 2021, due to a Local Health Officer’s order to mitigate the spread of COVID-19 and/or from the activities of a facility that prepares and serves food for delivery or carry out or a restaurant, and refunding any waived amoun",Aye
201399,2/10/2021,"Resolution retroactively authorizing the Department of Public Health to accept and expend a grant increase in the amount of $44,594 for a total amount of $144,230 from the National Institutes of Health through the Regents of the University of California, San Francisco for participation in a program, entitled “Evaluation of doxycycline post-exposure prophylaxis to reduce sexually transmitted infections in pre-exposure prophylaxis (PrEP) users and human immunodeficiency virus (HIV) infected men who have sex with men,” for the period of April 12, 2019, through March 31, 2021.",Aye
210035,2/10/2021,"Resolution retroactively authorizing the Department of Public Health to accept and expend a monetary gift in the amount of $200,000 from the Joan Kelley-Ryder Trust to support resident care programs for the residents at Laguna Honda Hospital and Rehabilitation Center, for the period of December 1, 2020, through December 30, 2030.",Aye
210036,2/10/2021,"Resolution retroactively authorizing the Department of Public Health to accept and expend a grant in the amount of $242,472 from the Centers for Disease Control and Prevention through Heluna Health for participation in a program, entitled “Epidemiology and Laboratory Capacity Coronavirus Aid, Relief, and Economic Security Act (CARES) 2020 Emerging Issues Project Funding for Adjusting Community Mitigation in Response to COVID-19,” for the period of May 1, 2020, through March 31, 2022.",Aye
