File #,Action Date,Title,Vote
201146,1/5/2021,"Motion approving the Mayor's nomination for appointment of Emanuel Yekutiel to the Municipal Transportation Agency Board of Directors, term ending March 1, 2024.",No
201328,12/15/2020,"Emergency ordinance to prohibit the City from requiring people experiencing homelessness currently housed in approximately 2,000 Shelter-in-Place (“SIP”) Hotel rooms to move from those rooms until the Federal Emergency Management Agency (“FEMA”) provides written notification that FEMA funding available for SIP Hotel rooms is terminated or not extended or modified in a way that no longer reimburses any costs of these rooms, or people experiencing homelessness housed in SIP Hotel rooms obtain a stable housing placement; for every ten SIP Hotel rooms vacated, six SIP Hotel rooms shall be availabl",No
201050,12/1/2020,"Ordinance adopting and implementing the Tentative Agreement between the City and County of San Francisco and the San Francisco Police Officers Association (“POA”), including: (1) adopting and implementing the First Amendment to the 2018-2021 Memorandum of Understanding between the City and POA, to defer wage increases currently set for Fiscal Year 2020-2021, amend the retention premium provisions, amend the 10B overtime provisions, extend the term by two years, and set wages for the additional term; and (2) approving settlement of two grievances filed by the POA against the City, for a not to",No
201265,12/1/2020,Ordinance amending the Health Code to prohibit smoking inside all private dwelling units in multi-unit housing complexes containing three or more units and all common areas; remove the exception for child care facilities located in private homes; exempt smoking of medicinal cannabis and adult use cannabis; require the Department of Public Health (DPH) to initiate a public information campaign to raise awareness of the smoking prohibition; require DPH to initiate the imposition of administrative penalties by issuance of a notice of violation in lieu of a citation; suspend the provision of the H,No
201050,11/17/2020,"Ordinance adopting and implementing the Tentative Agreement between the City and County of San Francisco and the San Francisco Police Officers Association (“POA”), including: (1) adopting and implementing the First Amendment to the 2018-2021 Memorandum of Understanding between the City and POA, to defer wage increases currently set for Fiscal Year 2020-2021, amend the retention premium provisions, amend the 10B overtime provisions, extend the term by two years, and set wages for the additional term; and (2) approving settlement of two grievances filed by the POA against the City, for a not to",No
200701,11/10/2020,Ordinance amending the Building Code to require new construction to utilize only electric power; amending the Environment Code to provide public hearings on implementation of all-electric requirements; adopting findings of local conditions under the California Health and Safety Code; affirming the Planning Department’s determination under the California Environmental Quality Act; and directing the Clerk of the Board of Supervisors to forward this Ordinance to the California Building Standards Commission upon final passage.,No
200758,8/25/2020,"Ordinance authorizing settlement of the lawsuit filed by Hastings College of the Law against the City and County of San Francisco for $0 and a Stipulated Injunction; the lawsuit was filed on May 4, 2020, in United States District Court, Case No. 20-cv-3033; entitled Hastings College of the Law, et al. v. City and County of San Francisco; the lawsuit involves alleged civil rights violations, Federal Americans with Disabilities and California Disabled Persons Act violations, Negligence; Public Nuisance; Private Nuisance and Inverse Condemnation.",No
200389,8/18/2020,"Motion approving the Mayor's nomination for the appointment of Jane Natoli to the Municipal Transportation Agency Board of Directors, term ending March 1, 2024.",No
200758,8/18/2020,"Ordinance authorizing settlement of the lawsuit filed by Hastings College of the Law against the City and County of San Francisco for $0 and a Stipulated Injunction; the lawsuit was filed on May 4, 2020, in United States District Court, Case No. 20-cv-3033; entitled Hastings College of the Law, et al. v. City and County of San Francisco; the lawsuit involves alleged civil rights violations, Federal Americans with Disabilities and California Disabled Persons Act violations, Negligence; Public Nuisance; Private Nuisance and Inverse Condemnation.",No
200565,6/30/2020,"Proposed Interim Budget and Appropriation Ordinance appropriating all estimated receipts and all estimated expenditures for Departments of the City and County of San Francisco as of June 1, 2020, for the FYs ending June 30, 2021, and June 30, 2022.",No
